Address,Lat,Lon
NYC,40.7127281,-74.0060152
"California, USA",36.7014631,-118.755997
"Dallas, TX",32.7762719,-96.7968559
"Rugby, England",52.3726682,-1.2620038
"Mumbai, India",19.0785451,72.878176
日本 沼津市,35.094699,138.866742
shah alam,3.0733644,101.5195149
La Réunion,-21.1309332,55.5265771
"Ontario, Canada",50.000678,-86.000977
"Chino hills, California ",33.9926803,-117.760056
TX,31.2638905,-98.5456116
"12277 Shiloh Road Dallas, TX",32.856295,-96.665635
Spain,39.3260685,-4.8379791
Cambodia,12.5433216,104.8144914
Cali,3.4517923,-76.5324943
NYC,40.7127281,-74.0060152
"California, USA",36.7014631,-118.755997
"Dallas, TX",32.7762719,-96.7968559
"Rugby, England",52.3726682,-1.2620038
"Mumbai, India",19.0785451,72.878176
日本 沼津市,35.094699,138.866742
shah alam,3.0733644,101.5195149
La Réunion,-21.1309332,55.5265771
"Ontario, Canada",50.000678,-86.000977
"Chino hills, California ",33.9926803,-117.760056
TX,31.2638905,-98.5456116
"12277 Shiloh Road Dallas, TX",32.856295,-96.665635
Spain,39.3260685,-4.8379791
Cambodia,12.5433216,104.8144914
Cali,3.4517923,-76.5324943
South Florida USA,37.1677128,-94.8464256
Cambodia,12.5433216,104.8144914
Abbottabad,34.1436136,73.2132747
Japan,36.5748441,139.2394179
Adelaide,-34.9281805,138.5999312
UK,54.7023545,-3.2765753
Cincinnati Ohio,39.1014537,-84.5124602
Connecticut,41.6500201,-72.7342163
South Florida USA,37.1677128,-94.8464256
Cambodia,12.5433216,104.8144914
Abbottabad,34.1436136,73.2132747
Japan,36.5748441,139.2394179
Adelaide,-34.9281805,138.5999312
UK,54.7023545,-3.2765753
Cincinnati Ohio,39.1014537,-84.5124602
Connecticut,41.6500201,-72.7342163
US,39.7837304,-100.445882
"Jacksonville, FL",30.3321838,-81.655651
At Heel,47.27694725,10.409029205285487
"Beverley, UK",53.8425488,-0.4315677
Everywhere,32.780595,-96.8078766
US,39.7837304,-100.445882
"Jacksonville, FL",30.3321838,-81.655651
At Heel,47.27694725,10.409029205285487
"Beverley, UK",53.8425488,-0.4315677
Everywhere,32.780595,-96.8078766
SoCal,-24.3998924,-47.7125224
Meanjin/Brisbane,-27.4714469,153.0294491
Behind you,38.5018845,-109.53328484410244
"Kaduna, Nigeria",10.3825318,7.8533226
"Bangkalan, Indonesia",-7.04637245,112.89625027008556
68000 Ampang,3.15025555,101.76021009194159
"Dover, Delaware,",39.158168,-75.5243682
"Lagos, Nigeria",6.4550575,3.3941795
India,22.3511148,78.6677428
Behind you,38.5018845,-109.53328484410244
Cambodia,12.5433216,104.8144914
日本,36.5748441,139.2394179
New Zealand,-41.5000831,172.8344077
Michigan,43.6211955,-84.6824346
"San Diego, CA",32.7174202,-117.1627728
Adelaide,-34.9281805,138.5999312
"کراچی, پاکستان",25.0580817,67.23117871243704
"San Marcos, CA",33.1433723,-117.1661449
India,22.3511148,78.6677428
Georgia,32.3293809,-83.1137366
Behind you,38.5018845,-109.53328484410244
SoCal,-24.3998924,-47.7125224
Meanjin/Brisbane,-27.4714469,153.0294491
Behind you,38.5018845,-109.53328484410244
"Kaduna, Nigeria",10.3825318,7.8533226
"Bangkalan, Indonesia",-7.04637245,112.89625027008556
68000 Ampang,3.15025555,101.76021009194159
"Dover, Delaware,",39.158168,-75.5243682
"Lagos, Nigeria",6.4550575,3.3941795
India,22.3511148,78.6677428
Behind you,38.5018845,-109.53328484410244
Cambodia,12.5433216,104.8144914
日本,36.5748441,139.2394179
New Zealand,-41.5000831,172.8344077
Michigan,43.6211955,-84.6824346
"San Diego, CA",32.7174202,-117.1627728
Adelaide,-34.9281805,138.5999312
"کراچی, پاکستان",25.0580817,67.23117871243704
"San Marcos, CA",33.1433723,-117.1661449
India,22.3511148,78.6677428
Georgia,32.3293809,-83.1137366
Behind you,38.5018845,-109.53328484410244
Bharat,22.3511148,78.6677428
"Las Vegas, NV",36.1672559,-115.148516
"Dallas, TX",32.7762719,-96.7968559
indonesia,-2.4833826,117.8902853
Cambodia,12.5433216,104.8144914
"Charlotte, NC",35.2272086,-80.8430827
"Taipei, Taiwan",25.0375198,121.5636796
"Atlanta, GA",33.7489924,-84.3902644
US,39.7837304,-100.445882
Atlanta,33.7489924,-84.3902644
Australia,-24.7761086,134.755
New York,40.7127281,-74.0060152
United Kingdom,54.7023545,-3.2765753
"Denver, CO",39.7392364,-104.984862
NYC,40.7127281,-74.0060152
"California, USA",36.7014631,-118.755997
"Dallas, TX",32.7762719,-96.7968559
"Rugby, England",52.3726682,-1.2620038
"Mumbai, India",19.0785451,72.878176
日本 沼津市,35.094699,138.866742
shah alam,3.0733644,101.5195149
La Réunion,-21.1309332,55.5265771
"Ontario, Canada",50.000678,-86.000977
"Chino hills, California ",33.9926803,-117.760056
TX,31.2638905,-98.5456116
"12277 Shiloh Road Dallas, TX",32.856295,-96.665635
Spain,39.3260685,-4.8379791
Cambodia,12.5433216,104.8144914
Cali,3.4517923,-76.5324943
NYC,40.7127281,-74.0060152
"California, USA",36.7014631,-118.755997
"Dallas, TX",32.7762719,-96.7968559
"Rugby, England",52.3726682,-1.2620038
"Mumbai, India",19.0785451,72.878176
日本 沼津市,35.094699,138.866742
shah alam,3.0733644,101.5195149
La Réunion,-21.1309332,55.5265771
"Ontario, Canada",50.000678,-86.000977
"Chino hills, California ",33.9926803,-117.760056
TX,31.2638905,-98.5456116
"12277 Shiloh Road Dallas, TX",32.856295,-96.665635
Spain,39.3260685,-4.8379791
Cambodia,12.5433216,104.8144914
Cali,3.4517923,-76.5324943
South Florida USA,37.1677128,-94.8464256
Cambodia,12.5433216,104.8144914
Abbottabad,34.1436136,73.2132747
Japan,36.5748441,139.2394179
Adelaide,-34.9281805,138.5999312
UK,54.7023545,-3.2765753
Cincinnati Ohio,39.1014537,-84.5124602
Connecticut,41.6500201,-72.7342163
South Florida USA,37.1677128,-94.8464256
Cambodia,12.5433216,104.8144914
Abbottabad,34.1436136,73.2132747
Japan,36.5748441,139.2394179
Adelaide,-34.9281805,138.5999312
UK,54.7023545,-3.2765753
Cincinnati Ohio,39.1014537,-84.5124602
Connecticut,41.6500201,-72.7342163
US,39.7837304,-100.445882
"Jacksonville, FL",30.3321838,-81.655651
At Heel,47.27694725,10.409029205285487
"Beverley, UK",53.8425488,-0.4315677
Everywhere,32.780595,-96.8078766
US,39.7837304,-100.445882
"Jacksonville, FL",30.3321838,-81.655651
At Heel,47.27694725,10.409029205285487
"Beverley, UK",53.8425488,-0.4315677
Everywhere,32.780595,-96.8078766
SoCal,-24.3998924,-47.7125224
Meanjin/Brisbane,-27.4714469,153.0294491
Behind you,38.5018845,-109.53328484410244
"Kaduna, Nigeria",10.3825318,7.8533226
"Bangkalan, Indonesia",-7.04637245,112.89625027008556
68000 Ampang,3.15025555,101.76021009194159
"Dover, Delaware,",39.158168,-75.5243682
"Lagos, Nigeria",6.4550575,3.3941795
India,22.3511148,78.6677428
Behind you,38.5018845,-109.53328484410244
Cambodia,12.5433216,104.8144914
日本,36.5748441,139.2394179
New Zealand,-41.5000831,172.8344077
Michigan,43.6211955,-84.6824346
"San Diego, CA",32.7174202,-117.1627728
Adelaide,-34.9281805,138.5999312
"کراچی, پاکستان",25.0580817,67.23117871243704
"San Marcos, CA",33.1433723,-117.1661449
India,22.3511148,78.6677428
Georgia,32.3293809,-83.1137366
Behind you,38.5018845,-109.53328484410244
SoCal,-24.3998924,-47.7125224
Meanjin/Brisbane,-27.4714469,153.0294491
Behind you,38.5018845,-109.53328484410244
"Kaduna, Nigeria",10.3825318,7.8533226
"Bangkalan, Indonesia",-7.04637245,112.89625027008556
68000 Ampang,3.15025555,101.76021009194159
"Dover, Delaware,",39.158168,-75.5243682
"Lagos, Nigeria",6.4550575,3.3941795
India,22.3511148,78.6677428
Behind you,38.5018845,-109.53328484410244
Cambodia,12.5433216,104.8144914
日本,36.5748441,139.2394179
New Zealand,-41.5000831,172.8344077
Michigan,43.6211955,-84.6824346
"San Diego, CA",32.7174202,-117.1627728
Adelaide,-34.9281805,138.5999312
"کراچی, پاکستان",25.0580817,67.23117871243704
"San Marcos, CA",33.1433723,-117.1661449
India,22.3511148,78.6677428
Georgia,32.3293809,-83.1137366
Behind you,38.5018845,-109.53328484410244
Bharat,22.3511148,78.6677428
"Las Vegas, NV",36.1672559,-115.148516
"Dallas, TX",32.7762719,-96.7968559
indonesia,-2.4833826,117.8902853
Cambodia,12.5433216,104.8144914
"Charlotte, NC",35.2272086,-80.8430827
"Taipei, Taiwan",25.0375198,121.5636796
"Atlanta, GA",33.7489924,-84.3902644
US,39.7837304,-100.445882
Atlanta,33.7489924,-84.3902644
Australia,-24.7761086,134.755
New York,40.7127281,-74.0060152
United Kingdom,54.7023545,-3.2765753
"Denver, CO",39.7392364,-104.984862
