Address,Lat,Lon
"St. Bonaventure, NY",42.0797893,-78.4807789
"Bronx + Queens, NYC",40.8004345,-73.8287761
Montana,47.3752671,-109.638757
satx,12.6825076,102.3948753
"St Louis, MO",38.6280278,-90.1910154
"Queens,NY",40.7135078,-73.8283132
"Lagos, Nigeria",6.4550575,3.3941795
"New Hampshire, USA",43.4849133,-71.6553992
"Portland, OR",45.5202471,-122.674194
Erie IL,41.6563287,-90.0790166
"St. Bonaventure, NY",42.0797893,-78.4807789
"Bronx + Queens, NYC",40.8004345,-73.8287761
Montana,47.3752671,-109.638757
satx,12.6825076,102.3948753
"St Louis, MO",38.6280278,-90.1910154
"Queens,NY",40.7135078,-73.8283132
"Lagos, Nigeria",6.4550575,3.3941795
"New Hampshire, USA",43.4849133,-71.6553992
"Portland, OR",45.5202471,-122.674194
Erie IL,41.6563287,-90.0790166
"Mesa, Arizona",33.4151005,-111.8314552
🪐broward county,26.1598074,-80.4623642
"Kansas City, MO",39.100105,-94.5781416
Heart ,36.3236769,-91.7148673
Oceania,-12.7725835,173.7741688
"Atlanta, GA",33.7489924,-84.3902644
"Mesa, Arizona",33.4151005,-111.8314552
🪐broward county,26.1598074,-80.4623642
"Kansas City, MO",39.100105,-94.5781416
Heart ,36.3236769,-91.7148673
Oceania,-12.7725835,173.7741688
"Atlanta, GA",33.7489924,-84.3902644
Arizona,34.395342,-111.763275
"Illinois, USA",40.0796606,-89.4337288
Texas,31.2638905,-98.5456116
Canada,61.0666922,-107.991707
Kenya,1.4419683,38.4313975
she/her ,52.2298583,21.0200755
Philippines,12.7503486,122.7312101
Hattiesburg,31.3271189,-89.2903392
Bohemian Grove,38.4665152,-122.97708085282885
Arizona,34.395342,-111.763275
"Illinois, USA",40.0796606,-89.4337288
Texas,31.2638905,-98.5456116
Canada,61.0666922,-107.991707
Kenya,1.4419683,38.4313975
she/her ,52.2298583,21.0200755
Philippines,12.7503486,122.7312101
Hattiesburg,31.3271189,-89.2903392
Bohemian Grove,38.4665152,-122.97708085282885
"San Francisco, CA",37.7790262,-122.419906
"Boulder, CO",40.0149856,-105.270545
"San Francisco, CA",37.7790262,-122.419906
"Boulder, CO",40.0149856,-105.270545
†x.,-32.0967361,-63.7940923
"11224 SE 256th st.,Kent WA,USA",47.37275165,-122.19109861205399
"Dubai, United Arab Emirates",25.074282349999997,55.18853865430702
One step ahead.,14.580785,121.0100976
"Los Angeles, CA",34.0536909,-118.242766
New York,40.7127281,-74.0060152
"Sydney, New South Wales",-33.8698439,151.2082848
Sindh,25.5,69.0
"Trichardt, South Africa",-26.4913889,29.2288889
†x.,-32.0967361,-63.7940923
"11224 SE 256th st.,Kent WA,USA",47.37275165,-122.19109861205399
"Dubai, United Arab Emirates",25.074282349999997,55.18853865430702
One step ahead.,14.580785,121.0100976
"Los Angeles, CA",34.0536909,-118.242766
New York,40.7127281,-74.0060152
"Sydney, New South Wales",-33.8698439,151.2082848
Sindh,25.5,69.0
"Trichardt, South Africa",-26.4913889,29.2288889
"Troy, IL",38.7292147,-89.8831541
221009 • 221217,-17.5886218,-149.3097141
"Kampala, Uganda",0.3177137,32.5813539
Europe  🇪🇺,51.0,10.0
"Chennai, India",13.0836939,80.270186
in your dreams! ,40.4230047,-86.8586564
"Troy, IL",38.7292147,-89.8831541
221009 • 221217,-17.5886218,-149.3097141
"Kampala, Uganda",0.3177137,32.5813539
Europe  🇪🇺,51.0,10.0
"Chennai, India",13.0836939,80.270186
in your dreams! ,40.4230047,-86.8586564
Bot,41.0094492,0.385667
"Montréal, Québec",45.5031824,-73.5698065
USA,39.7837304,-100.445882
National Capital Region,28.350168699999998,77.1072036056237
South Florida,37.1677128,-94.8464256
Bot,41.0094492,0.385667
"Montréal, Québec",45.5031824,-73.5698065
USA,39.7837304,-100.445882
National Capital Region,28.350168699999998,77.1072036056237
South Florida,37.1677128,-94.8464256
United States,39.7837304,-100.445882
"Dallas, TX",32.7762719,-96.7968559
"Acapulco, Mexico",16.8680495,-99.8940182
he/she/sky ,35.1371522,134.1895009
California,36.7014631,-118.755997
United States,39.7837304,-100.445882
"Dallas, TX",32.7762719,-96.7968559
"Acapulco, Mexico",16.8680495,-99.8940182
he/she/sky ,35.1371522,134.1895009
California,36.7014631,-118.755997
Northern California,35.1345127,33.9225856
"Maceió, Brasil",-9.6476843,-35.7339264
USA,39.7837304,-100.445882
Kingsport,36.550238,-82.5594293
"Toronto, Ontario",43.6534817,-79.3839347
"South Dakota, USA",44.6471761,-100.348761
"Illinois, USA",40.0796606,-89.4337288
"Miami Beach, FL",25.7929198,-80.1353006
Meanjin,-27.4689682,153.0234991
"Accra, Ghana",5.5571096,-0.2012376
nyc,40.7127281,-74.0060152
"London, England",51.5073219,-0.1276474
Northern California,35.1345127,33.9225856
"Maceió, Brasil",-9.6476843,-35.7339264
USA,39.7837304,-100.445882
Kingsport,36.550238,-82.5594293
"Toronto, Ontario",43.6534817,-79.3839347
"South Dakota, USA",44.6471761,-100.348761
"Illinois, USA",40.0796606,-89.4337288
"Miami Beach, FL",25.7929198,-80.1353006
Meanjin,-27.4689682,153.0234991
"Accra, Ghana",5.5571096,-0.2012376
nyc,40.7127281,-74.0060152
"London, England",51.5073219,-0.1276474
Twitter,43.6418623,-79.4113442
"Vancouver, B.C.",49.2608724,-123.113952
Washington D.C.,38.8950368,-77.0365427
España,39.3260685,-4.8379791
"Missouri, USA",38.7604815,-92.5617875
24 | Az,23.5035289,53.24578627720781
"Newcastle Upon Tyne, England",54.9738474,-1.6131572
"Salt Lake City, UT",40.7596198,-111.886797
"Ouagadougou, Burkina Faso",12.3681873,-1.5270944
"Brooklyn, New York",40.6526006,-73.9497211
STL,-45.92542665,167.60684826776085
"Bubiashie,Accra",5.577521,-0.23837990946337848
"Washington, D.C.",38.9074322,-77.0350922
Amaurot,29.6151031,-95.395018
"Lagos, Nigeria",6.4550575,3.3941795
"California, USA",36.7014631,-118.755997
Twitter,43.6418623,-79.4113442
"Vancouver, B.C.",49.2608724,-123.113952
Washington D.C.,38.8950368,-77.0365427
España,39.3260685,-4.8379791
"Missouri, USA",38.7604815,-92.5617875
24 | Az,23.5035289,53.24578627720781
"Newcastle Upon Tyne, England",54.9738474,-1.6131572
"Salt Lake City, UT",40.7596198,-111.886797
"Ouagadougou, Burkina Faso",12.3681873,-1.5270944
"Brooklyn, New York",40.6526006,-73.9497211
STL,-45.92542665,167.60684826776085
"Bubiashie,Accra",5.577521,-0.23837990946337848
"Washington, D.C.",38.9074322,-77.0350922
Amaurot,29.6151031,-95.395018
"Lagos, Nigeria",6.4550575,3.3941795
"California, USA",36.7014631,-118.755997
"Punjab, India",30.9293211,75.5004841
"New York, NY",40.7127281,-74.0060152
"Telangana, India ",17.8495919,79.1151663
Washington DC,38.8950368,-77.0365427
United States,39.7837304,-100.445882
"Brooklyn, NY",40.6526006,-73.9497211
"Palm Beach, FL",26.6279798,-80.4494174
Manassas VA.,38.7509488,-77.4752667
班加罗尔,12.9767936,77.590082
California,36.7014631,-118.755997
"Punjab, India",30.9293211,75.5004841
"New York, NY",40.7127281,-74.0060152
"Telangana, India ",17.8495919,79.1151663
Washington DC,38.8950368,-77.0365427
United States,39.7837304,-100.445882
"Brooklyn, NY",40.6526006,-73.9497211
"Palm Beach, FL",26.6279798,-80.4494174
Manassas VA.,38.7509488,-77.4752667
班加罗尔,12.9767936,77.590082
California,36.7014631,-118.755997
"Tempe, AZ",33.4255117,-111.9400164
Classified,22.2799783,114.1925458
"Claremont, NH",43.3727579,-72.3382504
United States,39.7837304,-100.445882
"Olathe, KS",38.8838856,-94.81887
"Tempe, AZ",33.4255117,-111.9400164
Classified,22.2799783,114.1925458
"Claremont, NH",43.3727579,-72.3382504
United States,39.7837304,-100.445882
"Olathe, KS",38.8838856,-94.81887
India,22.3511148,78.6677428
♡BTS♡,48.17229025,17.21349735712755
"São Paulo, Brasil",-23.5506507,-46.6333824
"East Greenwich, RI, USA",41.6603788,-71.4558911
India,22.3511148,78.6677428
"Compton, CA",33.894927,-118.226624
Center of the world ,41.2283899,-80.9098101
India,22.3511148,78.6677428
Here,43.8222157,17.6896937
India,22.3511148,78.6677428
India,22.3511148,78.6677428
♡BTS♡,48.17229025,17.21349735712755
"São Paulo, Brasil",-23.5506507,-46.6333824
"East Greenwich, RI, USA",41.6603788,-71.4558911
India,22.3511148,78.6677428
"Compton, CA",33.894927,-118.226624
Center of the world ,41.2283899,-80.9098101
India,22.3511148,78.6677428
Here,43.8222157,17.6896937
India,22.3511148,78.6677428
"Porto Sant'Elpidio, Marche",43.2563365,13.7593646
2016-2021,47.71734495,19.06224069431762
United States,39.7837304,-100.445882
Space ,33.683073949999994,-117.94479783055465
Perdido,-14.9574309,-40.9275914
"Watford, England",51.6553875,-0.3957425
"Lahore, Pakistan",31.5656822,74.3141829
UK,54.7023545,-3.2765753
"Alba Adriatica, Abruzos",42.8343422,13.927816
UK,54.7023545,-3.2765753
"मणिपुर, भारत",24.7208818,93.9229386
"Porto Sant'Elpidio, Marche",43.2563365,13.7593646
2016-2021,47.71734495,19.06224069431762
United States,39.7837304,-100.445882
Space ,33.683073949999994,-117.94479783055465
Perdido,-14.9574309,-40.9275914
"Watford, England",51.6553875,-0.3957425
"Lahore, Pakistan",31.5656822,74.3141829
UK,54.7023545,-3.2765753
"Alba Adriatica, Abruzos",42.8343422,13.927816
UK,54.7023545,-3.2765753
"मणिपुर, भारत",24.7208818,93.9229386
"Anaheim, CA",33.8347516,-117.911732
Greece,38.9953683,21.9877132
"Phoenix, AZ",33.4484367,-112.074141
Kenya,1.4419683,38.4313975
"Illinois, USA",40.0796606,-89.4337288
"Minnesota, USA",45.9896587,-94.6113288
"Bronx, NY",40.8466508,-73.8785937
USA,39.7837304,-100.445882
"Anaheim, CA",33.8347516,-117.911732
Greece,38.9953683,21.9877132
"Phoenix, AZ",33.4484367,-112.074141
Kenya,1.4419683,38.4313975
"Illinois, USA",40.0796606,-89.4337288
"Minnesota, USA",45.9896587,-94.6113288
"Bronx, NY",40.8466508,-73.8785937
USA,39.7837304,-100.445882
"California, USA",36.7014631,-118.755997
NJ,40.0757384,-74.4041622
United States,39.7837304,-100.445882
The Citadel,32.79639815,-79.96122935003301
Dubai,25.074282349999997,55.18853865430702
Hoenn,50.3949471,10.536528
"California, USA",36.7014631,-118.755997
NJ,40.0757384,-74.4041622
United States,39.7837304,-100.445882
The Citadel,32.79639815,-79.96122935003301
Dubai,25.074282349999997,55.18853865430702
Hoenn,50.3949471,10.536528
617,-25.1634254,-53.4133601
Hong Kong,22.2793278,114.1628131
"New Jersey, USA",40.0757384,-74.4041622
"Lincolnton, NC",35.473745,-81.2545251
"Austin, TX",30.2711286,-97.7436995
"Brooklyn, NY",40.6526006,-73.9497211
"Toronto, Ontario",43.6534817,-79.3839347
617,-25.1634254,-53.4133601
Hong Kong,22.2793278,114.1628131
"New Jersey, USA",40.0757384,-74.4041622
"Lincolnton, NC",35.473745,-81.2545251
"Austin, TX",30.2711286,-97.7436995
"New Jersey, USA",40.0757384,-74.4041622
"New Jersey, USA",40.0757384,-74.4041622
